ruleId,countryId,currency,vatRate,minimumSpend,estimatedRefundRate,refundProcessSteps,updatedAt,status
france-tax-free,france,EUR,20,100,12,Ask for a Tax Free form at the store.|Keep your passport information ready.|Validate your Tax Free form before leaving the EU.|Claim your refund by card or cash depending on the provider.,2026-06-19,active
italy-tax-free,italy,EUR,22,70,12,Ask for a Tax Free form at the store.|Keep invoices and receipts together.|Validate the form at your final EU exit point.|Receive your refund through the selected refund method.,2026-06-19,active
germany-tax-free,germany,EUR,19,50,10,Ask for a Tax Free form at the store.|Keep your receipt and Tax Free documents.|Validate your documents before leaving the EU.|Claim your refund through the refund provider.,2026-06-19,active
spain-tax-free,spain,EUR,21,0,12,Ask for a Tax Free form when shopping.|Keep your passport details ready.|Validate your Tax Free documents before leaving the EU.|Choose card or cash refund depending on provider availability.,2026-06-19,active
switzerland-tax-free,switzerland,CHF,8.1,300,5,Ask for a Tax Free form at the store.|Keep your original receipt.|Validate export documents when leaving Switzerland.|Claim your refund through the provider.,2026-06-19,active
united-arab-emirates-tax-free,united-arab-emirates,AED,5,250,4,Ask the store to create a Tax Free transaction.|Keep your passport information ready.|Validate your Tax Free transaction before departure.|Receive your refund through the available refund method.,2026-06-19,active
japan-tax-free,japan,JPY,10,5000,8,Shop at a Tax Free eligible store.|Show your passport at the store.|Follow the store Tax Free procedure.|Keep purchased goods according to local Tax Free rules.,2026-06-19,active
south-korea-tax-free,south-korea,KRW,10,15000,7,"Ask for Tax Free purchase processing at the store.|Keep receipts and refund documents.|Validate refund at airport or refund kiosk if required.|Receive your refund by card, cash or digital method.",2026-06-19,active
china-tax-free,china,CNY,13,500,9,Shop at eligible Tax Free stores.|Ask for the Tax Free refund form.|Validate your documents before departure.|Claim your refund through the designated refund channel.,2026-06-19,active
thailand-tax-free,thailand,THB,7,2000,5,Shop at stores displaying VAT Refund for Tourists.|Ask for the VAT refund application form.|Present goods and documents before departure if required.|Claim the refund at the airport refund counter.,2026-06-19,active
united-kingdom-tax-free,united-kingdom,GBP,20,0,0,Tax Free shopping is limited or unavailable for most visitors.|Check current rules before making large purchases.,2026-06-19,active
united-states-tax-free,united-states,USD,0,0,0,The United States does not have a standard nationwide VAT refund system.|Sales tax rules vary by state.,2026-06-19,active
